"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file","LMS service","Sat Jan 17 16:37:54 UTC 2026","passed","Sat Jan 17 16:37:54 UTC 2026","Get entity","Files","",""
"","0","Get exercises","LMS service","Sat Jan 17 16:37:51 UTC 2026","broken","Sat Jan 17 16:37:51 UTC 2026","Get entities","Exercises","",""
"","271","Create file with empty filename","LMS service","Sat Jan 17 16:37:54 UTC 2026","passed","Sat Jan 17 16:37:54 UTC 2026","Validate entity","Files","",""
"","286","Create user: example.com","LMS service","Sat Jan 17 16:37:56 UTC 2026","passed","Sat Jan 17 16:37:56 UTC 2026","Create entity","Users","",""
"","0","Update exercise","LMS service","Sat Jan 17 16:37:50 UTC 2026","broken","Sat Jan 17 16:37:50 UTC 2026","Update entity","Exercises","",""
"","18","Delete file","LMS service","Sat Jan 17 16:37:55 UTC 2026","passed","Sat Jan 17 16:37:55 UTC 2026","Delete entity","Files","",""
"","556","Create user: gmail.com","LMS service","Sat Jan 17 16:37:56 UTC 2026","passed","Sat Jan 17 16:37:56 UTC 2026","Create entity","Users","",""
"","0","Delete exercise","LMS service","Sat Jan 17 16:37:51 UTC 2026","broken","Sat Jan 17 16:37:51 UTC 2026","Delete entity","Exercises","",""
"","0","Update course","LMS service","Sat Jan 17 16:37:48 UTC 2026","broken","Sat Jan 17 16:37:48 UTC 2026","Update entity","Courses","",""
"","0","Create exercise","LMS service","Sat Jan 17 16:37:49 UTC 2026","broken","Sat Jan 17 16:37:49 UTC 2026","Create entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Sat Jan 17 16:37:55 UTC 2026","passed","Sat Jan 17 16:37:55 UTC 2026","Validate entity","Files","",""
"","26","Create course","LMS service","Sat Jan 17 16:37:49 UTC 2026","passed","Sat Jan 17 16:37:49 UTC 2026","Create entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Sat Jan 17 16:37:56 UTC 2026","passed","Sat Jan 17 16:37:56 UTC 2026","Validate entity","Files","",""
"","0","Get courses","LMS service","Sat Jan 17 16:37:47 UTC 2026","broken","Sat Jan 17 16:37:47 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Sat Jan 17 16:37:57 UTC 2026","passed","Sat Jan 17 16:37:57 UTC 2026","Get entity","Users","",""
"","0","Get exercise","LMS service","Sat Jan 17 16:37:50 UTC 2026","broken","Sat Jan 17 16:37:50 UTC 2026","Get entity","Exercises","",""
"","530","Create user: mail.ru","LMS service","Sat Jan 17 16:37:55 UTC 2026","passed","Sat Jan 17 16:37:56 UTC 2026","Create entity","Users","",""
"","269","Create file","LMS service","Sat Jan 17 16:37:53 UTC 2026","passed","Sat Jan 17 16:37:53 UTC 2026","Create entity","Files","",""
"","285","Login with correct email and password","LMS service","Sat Jan 17 16:37:48 UTC 2026","passed","Sat Jan 17 16:37:48 UTC 2026","Login","Authentication","",""
