"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Create user: mail.ru","LMS service","Sat Jan 17 16:45:12 UTC 2026","passed","Sat Jan 17 16:45:13 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sat Jan 17 16:45:04 UTC 2026","passed","Sat Jan 17 16:45:04 UTC 2026","Create entity","Courses","",""
"","284","Create user: example.com","LMS service","Sat Jan 17 16:45:13 UTC 2026","passed","Sat Jan 17 16:45:13 UTC 2026","Create entity","Users","",""
"","18","Get file","LMS service","Sat Jan 17 16:45:10 UTC 2026","passed","Sat Jan 17 16:45:10 UTC 2026","Get entity","Files","",""
"","17","Create file with empty directory","LMS service","Sat Jan 17 16:45:11 UTC 2026","passed","Sat Jan 17 16:45:11 UTC 2026","Validate entity","Files","",""
"","0","Update course","LMS service","Sat Jan 17 16:45:05 UTC 2026","broken","Sat Jan 17 16:45:05 UTC 2026","Update entity","Courses","",""
"","0","Create exercise","LMS service","Sat Jan 17 16:45:05 UTC 2026","broken","Sat Jan 17 16:45:05 UTC 2026","Create entity","Exercises","",""
"","12","Get user me","LMS service","Sat Jan 17 16:45:14 UTC 2026","passed","Sat Jan 17 16:45:14 UTC 2026","Get entity","Users","",""
"","0","Get exercise","LMS service","Sat Jan 17 16:45:06 UTC 2026","broken","Sat Jan 17 16:45:06 UTC 2026","Get entity","Exercises","",""
"","19","Create file","LMS service","Sat Jan 17 16:45:09 UTC 2026","passed","Sat Jan 17 16:45:09 UTC 2026","Create entity","Files","",""
"","281","Login with correct email and password","LMS service","Sat Jan 17 16:45:03 UTC 2026","passed","Sat Jan 17 16:45:03 UTC 2026","Login","Authentication","",""
"","19","Delete file","LMS service","Sat Jan 17 16:45:12 UTC 2026","passed","Sat Jan 17 16:45:12 UTC 2026","Delete entity","Files","",""
"","17","Create file with empty filename","LMS service","Sat Jan 17 16:45:10 UTC 2026","passed","Sat Jan 17 16:45:10 UTC 2026","Validate entity","Files","",""
"","21","Get file with incorrect file id","LMS service","Sat Jan 17 16:45:12 UTC 2026","passed","Sat Jan 17 16:45:12 UTC 2026","Validate entity","Files","",""
"","0","Get courses","LMS service","Sat Jan 17 16:45:04 UTC 2026","broken","Sat Jan 17 16:45:04 UTC 2026","Get entities","Courses","",""
"","0","Get exercises","LMS service","Sat Jan 17 16:45:08 UTC 2026","broken","Sat Jan 17 16:45:08 UTC 2026","Get entities","Exercises","",""
"","0","Delete exercise","LMS service","Sat Jan 17 16:45:07 UTC 2026","broken","Sat Jan 17 16:45:07 UTC 2026","Delete entity","Exercises","",""
"","0","Update exercise","LMS service","Sat Jan 17 16:45:07 UTC 2026","broken","Sat Jan 17 16:45:07 UTC 2026","Update entity","Exercises","",""
"","283","Create user: gmail.com","LMS service","Sat Jan 17 16:45:13 UTC 2026","passed","Sat Jan 17 16:45:13 UTC 2026","Create entity","Users","",""
