"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get file","LMS service","Sat Jan 17 17:03:36 UTC 2026","passed","Sat Jan 17 17:03:36 UTC 2026","Get entity","Files","",""
"","0","Get courses","LMS service","Sat Jan 17 17:03:29 UTC 2026","broken","Sat Jan 17 17:03:29 UTC 2026","Get entities","Courses","",""
"","284","Create user: example.com","LMS service","Sat Jan 17 17:03:38 UTC 2026","passed","Sat Jan 17 17:03:38 UTC 2026","Create entity","Users","",""
"","0","Create exercise","LMS service","Sat Jan 17 17:03:31 UTC 2026","broken","Sat Jan 17 17:03:31 UTC 2026","Create entity","Exercises","",""
"","557","Create user: gmail.com","LMS service","Sat Jan 17 17:03:38 UTC 2026","passed","Sat Jan 17 17:03:38 UTC 2026","Create entity","Users","",""
"","551","Create user: mail.ru","LMS service","Sat Jan 17 17:03:37 UTC 2026","passed","Sat Jan 17 17:03:38 UTC 2026","Create entity","Users","",""
"","0","Delete exercise","LMS service","Sat Jan 17 17:03:32 UTC 2026","broken","Sat Jan 17 17:03:32 UTC 2026","Delete entity","Exercises","",""
"","292","Delete file","LMS service","Sat Jan 17 17:03:37 UTC 2026","passed","Sat Jan 17 17:03:37 UTC 2026","Delete entity","Files","",""
"","0","Get exercise","LMS service","Sat Jan 17 17:03:32 UTC 2026","broken","Sat Jan 17 17:03:32 UTC 2026","Get entity","Exercises","",""
"","0","Update course","LMS service","Sat Jan 17 17:03:30 UTC 2026","broken","Sat Jan 17 17:03:30 UTC 2026","Update entity","Courses","",""
"","19","Create file","LMS service","Sat Jan 17 17:03:35 UTC 2026","passed","Sat Jan 17 17:03:35 UTC 2026","Create entity","Files","",""
"","11","Get user me","LMS service","Sat Jan 17 17:03:39 UTC 2026","passed","Sat Jan 17 17:03:39 UTC 2026","Get entity","Users","",""
"","23","Create file with empty filename","LMS service","Sat Jan 17 17:03:36 UTC 2026","passed","Sat Jan 17 17:03:36 UTC 2026","Validate entity","Files","",""
"","261","Create file with empty directory","LMS service","Sat Jan 17 17:03:37 UTC 2026","passed","Sat Jan 17 17:03:37 UTC 2026","Validate entity","Files","",""
"","542","Login with correct email and password","LMS service","Sat Jan 17 17:03:30 UTC 2026","passed","Sat Jan 17 17:03:30 UTC 2026","Login","Authentication","",""
"","0","Get exercises","LMS service","Sat Jan 17 17:03:34 UTC 2026","broken","Sat Jan 17 17:03:34 UTC 2026","Get entities","Exercises","",""
"","29","Create course","LMS service","Sat Jan 17 17:03:31 UTC 2026","passed","Sat Jan 17 17:03:31 UTC 2026","Create entity","Courses","",""
"","0","Update exercise","LMS service","Sat Jan 17 17:03:31 UTC 2026","broken","Sat Jan 17 17:03:31 UTC 2026","Update entity","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Sat Jan 17 17:03:38 UTC 2026","passed","Sat Jan 17 17:03:38 UTC 2026","Validate entity","Files","",""
