"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Update exercise","LMS service","Wed Jan 21 16:31:52 UTC 2026","passed","Wed Jan 21 16:31:52 UTC 2026","Update entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Wed Jan 21 16:31:55 UTC 2026","passed","Wed Jan 21 16:31:56 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Wed Jan 21 16:31:57 UTC 2026","passed","Wed Jan 21 16:31:57 UTC 2026","Delete entity","Files","",""
"","562","Create user: gmail.com","LMS service","Wed Jan 21 16:31:57 UTC 2026","passed","Wed Jan 21 16:31:57 UTC 2026","Create entity","Users","",""
"","14","Get file with incorrect file id","LMS service","Wed Jan 21 16:31:57 UTC 2026","passed","Wed Jan 21 16:31:57 UTC 2026","Validate entity","Files","",""
"","283","Login with correct email and password","LMS service","Wed Jan 21 16:31:49 UTC 2026","passed","Wed Jan 21 16:31:49 UTC 2026","Login","Authentication","",""
"","23","Create exercise","LMS service","Wed Jan 21 16:31:51 UTC 2026","passed","Wed Jan 21 16:31:51 UTC 2026","Create entity","Exercises","",""
"","14","Get file","LMS service","Wed Jan 21 16:31:55 UTC 2026","passed","Wed Jan 21 16:31:55 UTC 2026","Get entity","Files","",""
"","25","Delete exercise","LMS service","Wed Jan 21 16:31:53 UTC 2026","passed","Wed Jan 21 16:31:53 UTC 2026","Delete entity","Exercises","",""
"","296","Get courses","LMS service","Wed Jan 21 16:31:49 UTC 2026","passed","Wed Jan 21 16:31:50 UTC 2026","Get entities","Courses","",""
"","526","Create user: example.com","LMS service","Wed Jan 21 16:31:57 UTC 2026","passed","Wed Jan 21 16:31:58 UTC 2026","Create entity","Users","",""
"","32","Create course","LMS service","Wed Jan 21 16:31:50 UTC 2026","passed","Wed Jan 21 16:31:50 UTC 2026","Create entity","Courses","",""
"","31","Update course","LMS service","Wed Jan 21 16:31:51 UTC 2026","passed","Wed Jan 21 16:31:51 UTC 2026","Update entity","Courses","",""
"","290","Create user: mail.ru","LMS service","Wed Jan 21 16:31:57 UTC 2026","passed","Wed Jan 21 16:31:57 UTC 2026","Create entity","Users","",""
"","260","Create file","LMS service","Wed Jan 21 16:31:54 UTC 2026","passed","Wed Jan 21 16:31:55 UTC 2026","Create entity","Files","",""
"","17","Get exercise","LMS service","Wed Jan 21 16:31:52 UTC 2026","passed","Wed Jan 21 16:31:52 UTC 2026","Get entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Wed Jan 21 16:31:56 UTC 2026","passed","Wed Jan 21 16:31:56 UTC 2026","Validate entity","Files","",""
"","16","Get exercises","LMS service","Wed Jan 21 16:31:53 UTC 2026","passed","Wed Jan 21 16:31:53 UTC 2026","Get entities","Exercises","",""
"","14","Get user me","LMS service","Wed Jan 21 16:31:58 UTC 2026","passed","Wed Jan 21 16:31:58 UTC 2026","Get entity","Users","",""
