"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get exercises","LMS service","Sat Jan 17 16:31:01 UTC 2026","broken","Sat Jan 17 16:31:01 UTC 2026","Get entities","Exercises","",""
"","0","Update course","LMS service","Sat Jan 17 16:30:57 UTC 2026","broken","Sat Jan 17 16:30:57 UTC 2026","Update entity","Courses","",""
"","0","Update exercise","LMS service","Sat Jan 17 16:30:59 UTC 2026","broken","Sat Jan 17 16:30:59 UTC 2026","Update entity","Exercises","",""
"","15","Get file","LMS service","Sat Jan 17 16:31:03 UTC 2026","passed","Sat Jan 17 16:31:03 UTC 2026","Get entity","Files","",""
"","259","Get file with incorrect file id","LMS service","Sat Jan 17 16:31:05 UTC 2026","passed","Sat Jan 17 16:31:05 UTC 2026","Validate entity","Files","",""
"","0","Delete exercise","LMS service","Sat Jan 17 16:31:00 UTC 2026","broken","Sat Jan 17 16:31:00 UTC 2026","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Sat Jan 17 16:31:07 UTC 2026","passed","Sat Jan 17 16:31:07 UTC 2026","Get entity","Users","",""
"","0","Get courses","LMS service","Sat Jan 17 16:30:56 UTC 2026","broken","Sat Jan 17 16:30:56 UTC 2026","Get entities","Courses","",""
"","28","Create course","LMS service","Sat Jan 17 16:30:59 UTC 2026","passed","Sat Jan 17 16:30:59 UTC 2026","Create entity","Courses","",""
"","295","Delete file","LMS service","Sat Jan 17 16:31:04 UTC 2026","passed","Sat Jan 17 16:31:05 UTC 2026","Delete entity","Files","",""
"","547","Login with correct email and password","LMS service","Sat Jan 17 16:30:57 UTC 2026","passed","Sat Jan 17 16:30:57 UTC 2026","Login","Authentication","",""
"","0","Get exercise","LMS service","Sat Jan 17 16:31:00 UTC 2026","broken","Sat Jan 17 16:31:00 UTC 2026","Get entity","Exercises","",""
"","25","Create file with empty filename","LMS service","Sat Jan 17 16:31:03 UTC 2026","passed","Sat Jan 17 16:31:03 UTC 2026","Validate entity","Files","",""
"","547","Create user: mail.ru","LMS service","Sat Jan 17 16:31:05 UTC 2026","passed","Sat Jan 17 16:31:05 UTC 2026","Create entity","Users","",""
"","273","Create file with empty directory","LMS service","Sat Jan 17 16:31:04 UTC 2026","passed","Sat Jan 17 16:31:04 UTC 2026","Validate entity","Files","",""
"","561","Create user: gmail.com","LMS service","Sat Jan 17 16:31:05 UTC 2026","passed","Sat Jan 17 16:31:06 UTC 2026","Create entity","Users","",""
"","0","Create exercise","LMS service","Sat Jan 17 16:30:59 UTC 2026","broken","Sat Jan 17 16:30:59 UTC 2026","Create entity","Exercises","",""
"","24","Create file","LMS service","Sat Jan 17 16:31:02 UTC 2026","passed","Sat Jan 17 16:31:02 UTC 2026","Create entity","Files","",""
"","561","Create user: example.com","LMS service","Sat Jan 17 16:31:05 UTC 2026","passed","Sat Jan 17 16:31:06 UTC 2026","Create entity","Users","",""
