"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get exercise","LMS service","Sun Jan 18 13:32:04 UTC 2026","broken","Sun Jan 18 13:32:04 UTC 2026","Get entity","Exercises","",""
"","287","Create user: example.com","LMS service","Sun Jan 18 13:32:10 UTC 2026","passed","Sun Jan 18 13:32:10 UTC 2026","Create entity","Users","",""
"","0","Update exercise","LMS service","Sun Jan 18 13:32:03 UTC 2026","broken","Sun Jan 18 13:32:03 UTC 2026","Update entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Sun Jan 18 13:32:08 UTC 2026","passed","Sun Jan 18 13:32:08 UTC 2026","Validate entity","Files","",""
"","22","Delete file","LMS service","Sun Jan 18 13:32:09 UTC 2026","passed","Sun Jan 18 13:32:09 UTC 2026","Delete entity","Files","",""
"","26","Create course","LMS service","Sun Jan 18 13:32:03 UTC 2026","passed","Sun Jan 18 13:32:03 UTC 2026","Create entity","Courses","",""
"","264","Get file with incorrect file id","LMS service","Sun Jan 18 13:32:09 UTC 2026","passed","Sun Jan 18 13:32:10 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Sun Jan 18 13:32:11 UTC 2026","passed","Sun Jan 18 13:32:11 UTC 2026","Get entity","Users","",""
"","0","Get courses","LMS service","Sun Jan 18 13:32:01 UTC 2026","broken","Sun Jan 18 13:32:01 UTC 2026","Get entities","Courses","",""
"","0","Create exercise","LMS service","Sun Jan 18 13:32:03 UTC 2026","broken","Sun Jan 18 13:32:03 UTC 2026","Create entity","Exercises","",""
"","265","Create file with empty filename","LMS service","Sun Jan 18 13:32:08 UTC 2026","passed","Sun Jan 18 13:32:08 UTC 2026","Validate entity","Files","",""
"","0","Update course","LMS service","Sun Jan 18 13:32:02 UTC 2026","broken","Sun Jan 18 13:32:02 UTC 2026","Update entity","Courses","",""
"","525","Create user: mail.ru","LMS service","Sun Jan 18 13:32:09 UTC 2026","passed","Sun Jan 18 13:32:10 UTC 2026","Create entity","Users","",""
"","556","Create user: gmail.com","LMS service","Sun Jan 18 13:32:10 UTC 2026","passed","Sun Jan 18 13:32:10 UTC 2026","Create entity","Users","",""
"","0","Delete exercise","LMS service","Sun Jan 18 13:32:04 UTC 2026","broken","Sun Jan 18 13:32:04 UTC 2026","Delete entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Sun Jan 18 13:32:01 UTC 2026","passed","Sun Jan 18 13:32:02 UTC 2026","Login","Authentication","",""
"","12","Get file","LMS service","Sun Jan 18 13:32:07 UTC 2026","passed","Sun Jan 18 13:32:07 UTC 2026","Get entity","Files","",""
"","0","Get exercises","LMS service","Sun Jan 18 13:32:05 UTC 2026","broken","Sun Jan 18 13:32:05 UTC 2026","Get entities","Exercises","",""
"","263","Create file","LMS service","Sun Jan 18 13:32:06 UTC 2026","passed","Sun Jan 18 13:32:07 UTC 2026","Create entity","Files","",""
