"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","Create file with empty directory","LMS service","Sat Jan 17 16:21:12 UTC 2026","passed","Sat Jan 17 16:21:13 UTC 2026","Validate entity","Files","",""
"","0","Delete exercise","LMS service","Sat Jan 17 16:21:08 UTC 2026","broken","Sat Jan 17 16:21:08 UTC 2026","Delete entity","Exercises","",""
"","287","Create user: example.com","LMS service","Sat Jan 17 16:21:14 UTC 2026","passed","Sat Jan 17 16:21:14 UTC 2026","Create entity","Users","",""
"","0","Update exercise","LMS service","Sat Jan 17 16:21:07 UTC 2026","broken","Sat Jan 17 16:21:07 UTC 2026","Update entity","Exercises","",""
"","0","Update course","LMS service","Sat Jan 17 16:21:06 UTC 2026","broken","Sat Jan 17 16:21:06 UTC 2026","Update entity","Courses","",""
"","13","Get file","LMS service","Sat Jan 17 16:21:12 UTC 2026","passed","Sat Jan 17 16:21:12 UTC 2026","Get entity","Files","",""
"","0","Get exercise","LMS service","Sat Jan 17 16:21:08 UTC 2026","broken","Sat Jan 17 16:21:08 UTC 2026","Get entity","Exercises","",""
"","13","Get user me","LMS service","Sat Jan 17 16:21:15 UTC 2026","passed","Sat Jan 17 16:21:15 UTC 2026","Get entity","Users","",""
"","555","Create user: gmail.com","LMS service","Sat Jan 17 16:21:14 UTC 2026","passed","Sat Jan 17 16:21:14 UTC 2026","Create entity","Users","",""
"","1","Get exercises","LMS service","Sat Jan 17 16:21:09 UTC 2026","broken","Sat Jan 17 16:21:09 UTC 2026","Get entities","Exercises","",""
"","551","Create user: mail.ru","LMS service","Sat Jan 17 16:21:13 UTC 2026","passed","Sat Jan 17 16:21:14 UTC 2026","Create entity","Users","",""
"","0","Get courses","LMS service","Sat Jan 17 16:21:04 UTC 2026","broken","Sat Jan 17 16:21:04 UTC 2026","Get entities","Courses","",""
"","267","Get file with incorrect file id","LMS service","Sat Jan 17 16:21:13 UTC 2026","passed","Sat Jan 17 16:21:14 UTC 2026","Validate entity","Files","",""
"","546","Login with correct email and password","LMS service","Sat Jan 17 16:21:05 UTC 2026","passed","Sat Jan 17 16:21:06 UTC 2026","Login","Authentication","",""
"","20","Create file","LMS service","Sat Jan 17 16:21:10 UTC 2026","passed","Sat Jan 17 16:21:10 UTC 2026","Create entity","Files","",""
"","0","Create exercise","LMS service","Sat Jan 17 16:21:07 UTC 2026","broken","Sat Jan 17 16:21:07 UTC 2026","Create entity","Exercises","",""
"","291","Delete file","LMS service","Sat Jan 17 16:21:13 UTC 2026","passed","Sat Jan 17 16:21:13 UTC 2026","Delete entity","Files","",""
"","26","Create file with empty filename","LMS service","Sat Jan 17 16:21:12 UTC 2026","passed","Sat Jan 17 16:21:12 UTC 2026","Validate entity","Files","",""
"","29","Create course","LMS service","Sat Jan 17 16:21:07 UTC 2026","passed","Sat Jan 17 16:21:07 UTC 2026","Create entity","Courses","",""
