"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS service","0","Courses","1","0","Create entity","0"
"1","LMS service","0","Courses","0","0","Get entities","0"
"0","LMS service","0","Authentication","1","0","Login","0"
