"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty filename","LMS service","Sun Jan 18 15:16:07 UTC 2026","passed","Sun Jan 18 15:16:08 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Sun Jan 18 15:16:04 UTC 2026","passed","Sun Jan 18 15:16:04 UTC 2026","Get entity","Exercises","",""
"","19","Create file with empty directory","LMS service","Sun Jan 18 15:16:08 UTC 2026","passed","Sun Jan 18 15:16:08 UTC 2026","Validate entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Sun Jan 18 15:16:09 UTC 2026","passed","Sun Jan 18 15:16:09 UTC 2026","Validate entity","Files","",""
"","265","Create file","LMS service","Sun Jan 18 15:16:06 UTC 2026","passed","Sun Jan 18 15:16:06 UTC 2026","Create entity","Files","",""
"","300","Get courses","LMS service","Sun Jan 18 15:16:01 UTC 2026","passed","Sun Jan 18 15:16:02 UTC 2026","Get entities","Courses","",""
"","35","Delete exercise","LMS service","Sun Jan 18 15:16:05 UTC 2026","passed","Sun Jan 18 15:16:05 UTC 2026","Delete entity","Exercises","",""
"","299","Update course","LMS service","Sun Jan 18 15:16:03 UTC 2026","passed","Sun Jan 18 15:16:03 UTC 2026","Update entity","Courses","",""
"","562","Create user: example.com","LMS service","Sun Jan 18 15:16:09 UTC 2026","passed","Sun Jan 18 15:16:10 UTC 2026","Create entity","Users","",""
"","20","Get exercises","LMS service","Sun Jan 18 15:16:05 UTC 2026","passed","Sun Jan 18 15:16:05 UTC 2026","Get entities","Exercises","",""
"","555","Create user: gmail.com","LMS service","Sun Jan 18 15:16:09 UTC 2026","passed","Sun Jan 18 15:16:09 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Sun Jan 18 15:16:10 UTC 2026","passed","Sun Jan 18 15:16:10 UTC 2026","Get entity","Users","",""
"","287","Login with correct email and password","LMS service","Sun Jan 18 15:16:00 UTC 2026","passed","Sun Jan 18 15:16:01 UTC 2026","Login","Authentication","",""
"","22","Create exercise","LMS service","Sun Jan 18 15:16:03 UTC 2026","passed","Sun Jan 18 15:16:03 UTC 2026","Create entity","Exercises","",""
"","12","Get file","LMS service","Sun Jan 18 15:16:06 UTC 2026","passed","Sun Jan 18 15:16:06 UTC 2026","Get entity","Files","",""
"","558","Create user: mail.ru","LMS service","Sun Jan 18 15:16:09 UTC 2026","passed","Sun Jan 18 15:16:09 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Sun Jan 18 15:16:09 UTC 2026","passed","Sun Jan 18 15:16:09 UTC 2026","Delete entity","Files","",""
"","29","Update exercise","LMS service","Sun Jan 18 15:16:04 UTC 2026","passed","Sun Jan 18 15:16:04 UTC 2026","Update entity","Exercises","",""
"","301","Create course","LMS service","Sun Jan 18 15:16:02 UTC 2026","passed","Sun Jan 18 15:16:02 UTC 2026","Create entity","Courses","",""
